# generated by scripts/build_brief_pack.py (cc_tasks/2026-09-22_brief_material_pack_v2.md); framework record at commit 9ffcffddbf8f (framework/ai_readiness_framework.json, generated_from docs/crosswalk/usafacts_operationalization_skeleton.md); cycle of record scan_2026-09-10_rj4. Do not edit: re-run the generator.
indicator,doc_id,doc_type (manifest),screening,pinpoint_locator,locator (evidence cell)
A1,foundations-for-evidence-based-policymaking-act-of-2018-evid,federal,included,yes,"Title II, the OPEN Government Data Act, amending 44 U.S.C. 3502: paragraph 18 defines machine-readable as ""data in a format that can be easily processed by a computer without human intervention while ensuring no semantic meaning is lost"", and paragraph 20 requires an open Government data asset to be machine-readable and available in an open format"
A1,m-25-05-phase-2-implementation-of-the-evidence-act-open-gove,federal,included,yes,"section 5, attributes generally required for public data assets, i. Machine-Readable: ""agencies must make each of their public data assets machine-readable"", with the worked example that tabular data ""should not provide this data as a scanned image or image-based PDF document, but rather should provide that public data asset in an appropriate format e.g. in a character-delimited format such as a CSV file"""
A1,w3c-dwbp-2017,standard,included,yes,"BP 12, use machine-readable standardized data formats: ""make data available in a machine-readable, standardized data format that is well suited to its intended or potential use"", implemented as ""CSV, XML, HDF5, JSON and RDF serialization syntaxes"" and tested by ""check if the data format conforms to a known machine-readable data format specification""; and BP 14, provide data in multiple formats, the not-PDF-only half"
A3,dcat-us-1-1-schema,federal,included,yes,"distribution → downloadURL, ""must be the **direct** download URL"", distinguished there from accessURL, which is an indirect means of access; the Project Open Data metadata schema whose implementation guidance is OMB M-13-13"
A3,w3c-dwbp-2017,standard,included,yes,"BP 17, provide bulk download: ""enable consumers to retrieve the full dataset with a single request"""
A3,wilkinson-2016-fair-guiding-principles,academic,included,yes,"A1 and A1.1: retrievable by their identifier using a standardized communications protocol that is open, free, and universally implementable"
A4,anthropic-crawler-support-article,industry,included,no,
A4,cloudflare-ai-crawl-control-manage-crawlers,industry,included,no,
A4,google-robots-txt-intro,industry,included,no,
A4,openai-crawlers-bots,industry,included,no,
A4,perplexity-crawlers,industry,included,no,
A4,rfc-9309-robots-exclusion-protocol,standard,included,no,
A5,llmstxt-proposal,standard,included,no,
A5,sitemaps-protocol,standard,included,no,
A6,croissant-akhtar-2024-paper,academic,included,no,
A6,mlcommons-croissant-spec,standard,included,no,
A6,schema-org-dataset,standard,included,no,
A6,w3c-dcat-3,standard,included,no,
A8,dcat-us-1-1-schema,federal,included,yes,"the modified field, required ""yes, always"": ""most recent date on which the dataset was changed, updated or modified"", as an ISO 8601 date; and the accrualPeriodicity field, the publishing frequency as an ISO 8601 repeating duration"
