# generated by scripts/build_brief_pack.py (cc_tasks/2026-09-22_brief_material_pack_v2.md); framework record at commit 9ffcffddbf8f (framework/ai_readiness_framework.json, generated_from docs/crosswalk/usafacts_operationalization_skeleton.md); cycle of record scan_2026-09-10_rj4. Do not edit: re-run the generator.
code,criterion,construct,indicator,type,measurement_tier,measurement_basis,rule,rule_built,access_tier,status,mark,departure,kept_verbatim_or_restated
A1,A,Machine-readable formats,"Product available as structured data (CSV/JSON/parquet), not PDF-only",AUTO,M,harness_leg,RULE-A1-v4,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A2,A,Programmatic access,Documented public API; auth model; rate limits stated,AUTO/DOC,M,harness_leg,RULE-A2-v3,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A3,A,Bulk access,Full-product bulk download exists and is linked from product page,AUTO,M,harness_leg,RULE-A3-v6,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A4,A,Crawler/agent access,robots.txt + AI-crawler policy permit retrieval; no soft-blocks on data paths,AUTO,M,harness_leg,RULE-A4-v1,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A5,A,Discoverability surface,llms.txt (or equivalent) present; sitemap covers data products,AUTO,M,harness_leg,RULE-A5-v2,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A6,A,Structured markup,schema.org/Dataset (or DCAT/Croissant) markup valid on product pages,AUTO,M,harness_leg,RULE-A6-v2,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A7,A,Stable identifiers,Persistent URLs/DOIs for products and vintages,DOC,O,open_tool,none,no,agency_instrumented,draft,added (operationalizes A ACCESSIBLE),,restated
A8,A,Timeliness of surface,Release date machine-readable; latest-vintage pointer resolvable,AUTO,M,harness_leg,RULE-A8-v4,yes,public,draft,added (operationalizes A ACCESSIBLE),,restated
A9,A,M2M agent surface,Product exposes a machine-first entry point (documented API plus MCP/A2A-class endpoint or equivalent agent protocol); human pages derivable from it,AUTO,M,harness_leg,RULE-A9-v1,yes,public,"draft; frontier_deep track, as_of 2026-01",added (operationalizes A ACCESSIBLE),"skeleton line 168: 9. **Machine as first-class user (§1b)** — delivered feedback, grounded in FAIR rather than prediction: machine-actionability as primary design target, human surface derived; A9 makes it auditable.",restated
A10,A,Application/data-tool machine surface,"Interactive data tools expose stable, directly-requestable deep links; meaningful states are not fragment-only or session-dependent; invalid routes return true 404/410, not HTTP-200 shell (soft-404); page-specific content present in raw HTML before JS execution",AUTO,M,harness_leg,RULE-A10-v3,yes,public,stub,added (operationalizes A ACCESSIBLE),,restated
A11,A,Effective crawler access (declared / enforced / observed),"A4 upgraded from declared-policy check to three-layer comparison: declared (robots.txt/meta directives) vs enforced (edge/WAF/bot-management treatment) vs observed (actual crawler request logs). A mismatch between layers is itself the finding, not an error state",AUTO + agency_instrumented,M,harness_leg,RULE-A11-declared-v2,yes,agency_instrumented,stub,added (operationalizes A ACCESSIBLE),,restated
A12,A,Access policy coherence,"An identified, robots-compliant machine client that robots.txt permits is served (not refused by a WAF or bot manager)",AUTO,M,harness_leg,RULE-A12-v3,yes,public,candidate,"candidate (DD-054: reported, not part of the framework)",,restated
B1,B,Variable-level semantics,"Comprehensive variable-level metadata (labels, definitions, units, universes)",DOC,M,harness_leg,RULE-B1-v2,yes,agency_instrumented,draft,added (operationalizes B UNDERSTANDABLE),,restated
B2,B,Definitions surface,"Concept/term definitions published, versioned, linked from variables",DOC,M,harness_leg,RULE-B2-v1,yes,agency_instrumented,draft,added (operationalizes B UNDERSTANDABLE),,restated
B3,B,Methodology legibility,Methodology docs in structured text (not PDF-only); summarizable by retrieval,AUTO/DOC,M,harness_leg,RULE-B3-v3,yes,public,draft,added (operationalizes B UNDERSTANDABLE),,restated
B4,B,Quality metadata,"Data-quality attributes (error measures, suppression rules, revisions policy) published as metadata, not prose",DOC,M,harness_leg,RULE-B4-v1,yes,agency_instrumented,draft,added (operationalizes B UNDERSTANDABLE),,restated
B5,B,Semantic consistency,Same concept ⇒ same identifier across products/vintages,DOC,M,harness_leg,RULE-B5-v1,yes,agency_instrumented,draft,added (operationalizes B UNDERSTANDABLE),,restated
B6,B,NL affordances,Plain-language product summary present and current (the retrieval target),DOC,unassigned,,none,no,agency_instrumented,draft,added (operationalizes B UNDERSTANDABLE),,restated
